"sp","lon","lat"
"Campomanesia dichotoma",-40.266389,-20.266667
"Campomanesia dichotoma",-39.166667,-14.8
"Campomanesia dichotoma",-39.08,-14.77
"Campomanesia dichotoma",-38.416667,-12.95
"Campomanesia dichotoma",-39.183889,-12.161667
"Campomanesia dichotoma",-37.728611,-12.035278
"Campomanesia dichotoma",-37.559167,-11.833056
"Campomanesia dichotoma",-37.440556,-11.406667
"Campomanesia dichotoma",-37.423583,-11.38825
"Campomanesia dichotoma",-37.432111,-11.367861
"Campomanesia dichotoma",-37.42,-11.36
"Campomanesia dichotoma",-37.54861111,-11.02833333
"Campomanesia dichotoma",-37.0817,-10.7375
"Campomanesia dichotoma",-36.829444,-10.699444
"Campomanesia dichotoma",-36.708611,-10.612778
"Campomanesia dichotoma",-36.616889,-10.5525
"Campomanesia dichotoma",-37.053889,-10.536111
"Campomanesia dichotoma",-36.615139,-10.530583
"Campomanesia dichotoma",-36.27638889,-10.05722222
"Campomanesia dichotoma",-36.093611,-9.781111
"Campomanesia dichotoma",-35.095,-8.714444
"Campomanesia dichotoma",-34.99,-7.848731
"Campomanesia dichotoma",-34.9064,-7.83417
"Campomanesia dichotoma",-34.947778,-7.824167
"Campomanesia dichotoma",-35.0222223,-7.7958333
"Campomanesia dichotoma",-35.5,-7.583333333
"Campomanesia dichotoma",-34.85,-7.145556
"Campomanesia dichotoma",-35.2325,-7.096389
"Campomanesia dichotoma",-35.08427,-6.80333
"Campomanesia dichotoma",-35.163056,-6.730833
"Campomanesia dichotoma",-34.978633,-6.493619
"Campomanesia dichotoma",-35.674722,-6.472222
"Campomanesia dichotoma",-35.0078,-6.36944
"Campomanesia dichotoma",-35.2086,-6.09111
"Campomanesia dichotoma",-35.2,-5.811111
"Campomanesia dichotoma",-35.29388889,-5.468055556
"Campomanesia dichotoma",-42.1686,-4.82778
"Campomanesia dichotoma",-38.9233,-4.225
"Cereus albicaulis",-42.516667,-14.716667
"Cereus albicaulis",-42.920417,-14.546306
"Cereus albicaulis",-42.522222,-14.256111
"Cereus albicaulis",-39.858611,-12.755278
"Cereus albicaulis",-41.316667,-11.466667
"Cereus albicaulis",-41.046111,-11.425833
"Cereus albicaulis",-41.234444,-11.385278
"Cereus albicaulis",-38.3975,-10.256111
"Cereus albicaulis",-42.504167,-10.003333
"Cereus albicaulis",-38.983333,-9.933333
"Cereus albicaulis",-42.1,-9.483333
"Cereus albicaulis",-40.349643,-9.181159
"Cereus albicaulis",-40.3925,-9.059167
"Cereus albicaulis",-42.675319,-8.806556
"Cereus albicaulis",-42.489167,-8.733611
"Cereus albicaulis",-37.234444,-8.589167
"Cereus albicaulis",-37.216667,-8.566667
"Cereus albicaulis",-37.246944,-8.548333
"Cereus albicaulis",-38.054989,-8.539128
"Cereus albicaulis",-37.252778,-8.534722
"Cereus albicaulis",-42.715556,-8.450556
"Cereus albicaulis",-36.01011,-8.38697
"Cereus albicaulis",-35.843944,-8.381944
"Cereus albicaulis",-40.187778,-8.163611
"Cereus albicaulis",-38.891222,-7.539167
"Cereus albicaulis",-39.470333,-7.464167
"Cereus albicaulis",-40.968437,-7.087373
"Cereus albicaulis",-40.116667,-6.65
"Cereus albicaulis",-40.923283,-5.800467
"Cereus albicaulis",-40.980678,-3.885064
